"","nom_comarca","nivell","nom_naturalesa","nom_ensenyament","edat","places ofertades","assignacions","% ocupades","dem","Curs"
"362","Cerdanya","2","Public","Educacio primaria",7,37,1,2.7,"Catalunya","2-Educacio primaria"
"363","Cerdanya","2","Public","Educacio secundaria obligatoria",13,7,3,42.9,"Catalunya","2-Educacio secundaria obligatoria"
"364","Cerdanya","3","Privat","Educacio infantil 2n cicle",5,0,0,NA,"Catalunya","3-Educacio infantil 2n cicle"
"365","Cerdanya","3","Privat","Educacio primaria",8,2,2,100,"Catalunya","3-Educacio primaria"
"366","Cerdanya","3","Privat","Educacio secundaria obligatoria",14,1,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"367","Cerdanya","3","Public","Educacio infantil 2n cicle",5,39,7,17.9,"Catalunya","3-Educacio infantil 2n cicle"
"368","Cerdanya","3","Public","Educacio primaria",8,40,3,7.5,"Catalunya","3-Educacio primaria"
"369","Cerdanya","3","Public","Educacio secundaria obligatoria",14,0,0,NA,"Catalunya","3-Educacio secundaria obligatoria"
"370","Cerdanya","4","Privat","Educacio primaria",9,1,1,100,"Catalunya","4-Educacio primaria"
"371","Cerdanya","4","Privat","Educacio secundaria obligatoria",15,0,0,NA,"Catalunya","4-Educacio secundaria obligatoria"
"372","Cerdanya","4","Public","Educacio primaria",9,21,3,14.3,"Catalunya","4-Educacio primaria"
"373","Cerdanya","4","Public","Educacio secundaria obligatoria",15,5,2,40,"Catalunya","4-Educacio secundaria obligatoria"
"374","Cerdanya","5","Privat","Educacio primaria",10,0,0,NA,"Catalunya","5-Educacio primaria"
"375","Cerdanya","5","Public","Educacio primaria",10,23,2,8.7,"Catalunya","5-Educacio primaria"
"376","Cerdanya","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"377","Cerdanya","6","Public","Educacio primaria",11,22,1,4.5,"Catalunya","6-Educacio primaria"
"378","Conca de Barber","1","Privat","Educacio infantil 2n cicle",3,75,48,64,"Catalunya","1-Educacio infantil 2n cicle"
"379","Conca de Barber","1","Privat","Educacio primaria",6,23,4,17.4,"Catalunya","1-Educacio primaria"
"380","Conca de Barber","1","Privat","Educacio secundaria obligatoria",12,7,8,114.3,"Catalunya","1-Educacio secundaria obligatoria"
"381","Conca de Barber","1","Public","Educacio infantil 2n cicle",3,181,97,53.6,"Catalunya","1-Educacio infantil 2n cicle"
"382","Conca de Barber","1","Public","Educacio primaria",6,48,3,6.2,"Catalunya","1-Educacio primaria"
"383","Conca de Barber","1","Public","Educacio secundaria obligatoria",12,177,162,91.5,"Catalunya","1-Educacio secundaria obligatoria"
"384","Conca de Barber","2","Privat","Educacio infantil 2n cicle",4,29,0,0,"Catalunya","2-Educacio infantil 2n cicle"
"385","Conca de Barber","2","Privat","Educacio primaria",7,21,2,9.5,"Catalunya","2-Educacio primaria"
"386","Conca de Barber","2","Privat","Educacio secundaria obligatoria",13,0,0,NA,"Catalunya","2-Educacio secundaria obligatoria"
"387","Conca de Barber","2","Public","Educacio infantil 2n cicle",4,63,1,1.6,"Catalunya","2-Educacio infantil 2n cicle"
"388","Conca de Barber","2","Public","Educacio primaria",7,60,4,6.7,"Catalunya","2-Educacio primaria"
"389","Conca de Barber","2","Public","Educacio secundaria obligatoria",13,30,2,6.7,"Catalunya","2-Educacio secundaria obligatoria"
"390","Conca de Barber","3","Privat","Educacio infantil 2n cicle",5,1,0,0,"Catalunya","3-Educacio infantil 2n cicle"
"391","Conca de Barber","3","Privat","Educacio primaria",8,12,1,8.3,"Catalunya","3-Educacio primaria"
"392","Conca de Barber","3","Privat","Educacio secundaria obligatoria",14,0,0,NA,"Catalunya","3-Educacio secundaria obligatoria"
"393","Conca de Barber","3","Public","Educacio infantil 2n cicle",5,52,6,11.5,"Catalunya","3-Educacio infantil 2n cicle"
"394","Conca de Barber","3","Public","Educacio primaria",8,67,2,3,"Catalunya","3-Educacio primaria"
"395","Conca de Barber","3","Public","Educacio secundaria obligatoria",14,8,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"396","Conca de Barber","4","Privat","Educacio primaria",9,10,1,10,"Catalunya","4-Educacio primaria"
"397","Conca de Barber","4","Privat","Educacio secundaria obligatoria",15,0,0,NA,"Catalunya","4-Educacio secundaria obligatoria"
"398","Conca de Barber","4","Public","Educacio primaria",9,36,0,0,"Catalunya","4-Educacio primaria"
"399","Conca de Barber","4","Public","Educacio secundaria obligatoria",15,42,3,7.1,"Catalunya","4-Educacio secundaria obligatoria"
"400","Conca de Barber","5","Privat","Educacio primaria",10,17,3,17.6,"Catalunya","5-Educacio primaria"
"401","Conca de Barber","5","Public","Educacio primaria",10,78,2,2.6,"Catalunya","5-Educacio primaria"
"402","Conca de Barber","6","Privat","Educacio primaria",11,21,1,4.8,"Catalunya","6-Educacio primaria"
"403","Conca de Barber","6","Public","Educacio primaria",11,60,0,0,"Catalunya","6-Educacio primaria"
"404","Garraf","1","Privat","Educacio infantil 2n cicle",3,266,207,77.8,"Catalunya","1-Educacio infantil 2n cicle"
"405","Garraf","1","Privat","Educacio primaria",6,14,3,21.4,"Catalunya","1-Educacio primaria"
"406","Garraf","1","Privat","Educacio secundaria obligatoria",12,52,46,88.5,"Catalunya","1-Educacio secundaria obligatoria"
"407","Garraf","1","Public","Educacio infantil 2n cicle",3,946,803,84.9,"Catalunya","1-Educacio infantil 2n cicle"
"408","Garraf","1","Public","Educacio primaria",6,70,16,22.9,"Catalunya","1-Educacio primaria"
"409","Garraf","1","Public","Educacio secundaria obligatoria",12,1295,1080,83.4,"Catalunya","1-Educacio secundaria obligatoria"
"410","Garraf","2","Privat","Educacio infantil 2n cicle",4,18,5,27.8,"Catalunya","2-Educacio infantil 2n cicle"
"411","Garraf","2","Privat","Educacio primaria",7,0,0,NA,"Catalunya","2-Educacio primaria"
"412","Garraf","2","Privat","Educacio secundaria obligatoria",13,6,5,83.3,"Catalunya","2-Educacio secundaria obligatoria"
"413","Garraf","2","Public","Educacio infantil 2n cicle",4,121,22,18.2,"Catalunya","2-Educacio infantil 2n cicle"
"414","Garraf","2","Public","Educacio primaria",7,64,18,28.1,"Catalunya","2-Educacio primaria"
"415","Garraf","2","Public","Educacio secundaria obligatoria",13,14,10,71.4,"Catalunya","2-Educacio secundaria obligatoria"
"416","Garraf","3","Privat","Educacio infantil 2n cicle",5,38,12,31.6,"Catalunya","3-Educacio infantil 2n cicle"
"417","Garraf","3","Privat","Educacio primaria",8,4,1,25,"Catalunya","3-Educacio primaria"
"418","Garraf","3","Privat","Educacio secundaria obligatoria",14,1,1,100,"Catalunya","3-Educacio secundaria obligatoria"
"419","Garraf","3","Public","Educacio infantil 2n cicle",5,98,12,12.2,"Catalunya","3-Educacio infantil 2n cicle"
"420","Garraf","3","Public","Educacio primaria",8,72,11,15.3,"Catalunya","3-Educacio primaria"
"421","Garraf","3","Public","Educacio secundaria obligatoria",14,50,22,44,"Catalunya","3-Educacio secundaria obligatoria"
"422","Garraf","4","Privat","Educacio primaria",9,1,1,100,"Catalunya","4-Educacio primaria"
"423","Garraf","4","Privat","Educacio secundaria obligatoria",15,1,1,100,"Catalunya","4-Educacio secundaria obligatoria"
"424","Garraf","4","Public","Educacio primaria",9,59,11,18.6,"Catalunya","4-Educacio primaria"
"425","Garraf","4","Public","Educacio secundaria obligatoria",15,52,7,13.5,"Catalunya","4-Educacio secundaria obligatoria"
"426","Garraf","5","Privat","Educacio primaria",10,0,1,Inf,"Catalunya","5-Educacio primaria"
"427","Garraf","5","Public","Educacio primaria",10,70,9,12.9,"Catalunya","5-Educacio primaria"
"428","Garraf","6","Privat","Educacio primaria",11,1,0,0,"Catalunya","6-Educacio primaria"
"429","Garraf","6","Public","Educacio primaria",11,36,4,11.1,"Catalunya","6-Educacio primaria"
"430","Garrigues","1","Privat","Educacio infantil 2n cicle",3,25,24,96,"Catalunya","1-Educacio infantil 2n cicle"
"431","Garrigues","1","Privat","Educacio primaria",6,1,0,0,"Catalunya","1-Educacio primaria"
"432","Garrigues","1","Privat","Educacio secundaria obligatoria",12,34,21,61.8,"Catalunya","1-Educacio secundaria obligatoria"
"433","Garrigues","1","Public","Educacio infantil 2n cicle",3,142,94,66.2,"Catalunya","1-Educacio infantil 2n cicle"
"434","Garrigues","1","Public","Educacio primaria",6,31,3,9.7,"Catalunya","1-Educacio primaria"
"435","Garrigues","1","Public","Educacio secundaria obligatoria",12,147,122,83,"Catalunya","1-Educacio secundaria obligatoria"
"436","Garrigues","2","Privat","Educacio infantil 2n cicle",4,1,1,100,"Catalunya","2-Educacio infantil 2n cicle"
"437","Garrigues","2","Privat","Educacio primaria",7,1,0,0,"Catalunya","2-Educacio primaria"
"438","Garrigues","2","Privat","Educacio secundaria obligatoria",13,18,2,11.1,"Catalunya","2-Educacio secundaria obligatoria"
"439","Garrigues","2","Public","Educacio infantil 2n cicle",4,29,2,6.9,"Catalunya","2-Educacio infantil 2n cicle"
"440","Garrigues","2","Public","Educacio primaria",7,35,2,5.7,"Catalunya","2-Educacio primaria"
"441","Garrigues","2","Public","Educacio secundaria obligatoria",13,32,1,3.1,"Catalunya","2-Educacio secundaria obligatoria"
"442","Garrigues","3","Privat","Educacio infantil 2n cicle",5,2,0,0,"Catalunya","3-Educacio infantil 2n cicle"
"443","Garrigues","3","Privat","Educacio primaria",8,0,0,NA,"Catalunya","3-Educacio primaria"
"444","Garrigues","3","Privat","Educacio secundaria obligatoria",14,8,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"445","Garrigues","3","Public","Educacio infantil 2n cicle",5,7,2,28.6,"Catalunya","3-Educacio infantil 2n cicle"
"446","Garrigues","3","Public","Educacio primaria",8,8,1,12.5,"Catalunya","3-Educacio primaria"
"447","Garrigues","3","Public","Educacio secundaria obligatoria",14,16,1,6.2,"Catalunya","3-Educacio secundaria obligatoria"
"448","Garrigues","4","Privat","Educacio primaria",9,1,0,0,"Catalunya","4-Educacio primaria"
"449","Garrigues","4","Privat","Educacio secundaria obligatoria",15,12,0,0,"Catalunya","4-Educacio secundaria obligatoria"
"450","Garrigues","4","Public","Educacio primaria",9,11,0,0,"Catalunya","4-Educacio primaria"
"451","Garrigues","4","Public","Educacio secundaria obligatoria",15,16,0,0,"Catalunya","4-Educacio secundaria obligatoria"
"452","Garrigues","5","Privat","Educacio primaria",10,0,0,NA,"Catalunya","5-Educacio primaria"
"453","Garrigues","5","Public","Educacio primaria",10,17,1,5.9,"Catalunya","5-Educacio primaria"
"454","Garrigues","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"455","Garrigues","6","Public","Educacio primaria",11,14,1,7.1,"Catalunya","6-Educacio primaria"
"456","Garrotxa","1","Privat","Educacio infantil 2n cicle",3,113,99,87.6,"Catalunya","1-Educacio infantil 2n cicle"
"457","Garrotxa","1","Privat","Educacio primaria",6,29,1,3.4,"Catalunya","1-Educacio primaria"
"458","Garrotxa","1","Privat","Educacio secundaria obligatoria",12,28,17,60.7,"Catalunya","1-Educacio secundaria obligatoria"
"459","Garrotxa","1","Public","Educacio infantil 2n cicle",3,421,356,84.6,"Catalunya","1-Educacio infantil 2n cicle"
"460","Garrotxa","1","Public","Educacio primaria",6,26,14,53.8,"Catalunya","1-Educacio primaria"
"461","Garrotxa","1","Public","Educacio secundaria obligatoria",12,384,362,94.3,"Catalunya","1-Educacio secundaria obligatoria"
"462","Garrotxa","2","Privat","Educacio infantil 2n cicle",4,26,5,19.2,"Catalunya","2-Educacio infantil 2n cicle"
"463","Garrotxa","2","Privat","Educacio primaria",7,18,0,0,"Catalunya","2-Educacio primaria"
"464","Garrotxa","2","Privat","Educacio secundaria obligatoria",13,7,1,14.3,"Catalunya","2-Educacio secundaria obligatoria"
"465","Garrotxa","2","Public","Educacio infantil 2n cicle",4,20,6,30,"Catalunya","2-Educacio infantil 2n cicle"
"466","Garrotxa","2","Public","Educacio primaria",7,15,1,6.7,"Catalunya","2-Educacio primaria"
"467","Garrotxa","2","Public","Educacio secundaria obligatoria",13,4,1,25,"Catalunya","2-Educacio secundaria obligatoria"
"468","Garrotxa","3","Privat","Educacio infantil 2n cicle",5,10,2,20,"Catalunya","3-Educacio infantil 2n cicle"
"469","Garrotxa","3","Privat","Educacio primaria",8,12,0,0,"Catalunya","3-Educacio primaria"
"470","Garrotxa","3","Privat","Educacio secundaria obligatoria",14,6,1,16.7,"Catalunya","3-Educacio secundaria obligatoria"
"471","Garrotxa","3","Public","Educacio infantil 2n cicle",5,13,3,23.1,"Catalunya","3-Educacio infantil 2n cicle"
"472","Garrotxa","3","Public","Educacio primaria",8,7,0,0,"Catalunya","3-Educacio primaria"
"473","Garrotxa","3","Public","Educacio secundaria obligatoria",14,19,3,15.8,"Catalunya","3-Educacio secundaria obligatoria"
"474","Garrotxa","4","Privat","Educacio primaria",9,4,0,0,"Catalunya","4-Educacio primaria"
"475","Garrotxa","4","Privat","Educacio secundaria obligatoria",15,23,1,4.3,"Catalunya","4-Educacio secundaria obligatoria"
"476","Garrotxa","4","Public","Educacio primaria",9,12,5,41.7,"Catalunya","4-Educacio primaria"
"477","Garrotxa","4","Public","Educacio secundaria obligatoria",15,17,0,0,"Catalunya","4-Educacio secundaria obligatoria"
"478","Garrotxa","5","Privat","Educacio primaria",10,6,1,16.7,"Catalunya","5-Educacio primaria"
"479","Garrotxa","5","Public","Educacio primaria",10,4,3,75,"Catalunya","5-Educacio primaria"
"480","Garrotxa","6","Privat","Educacio primaria",11,8,0,0,"Catalunya","6-Educacio primaria"
"481","Garrotxa","6","Public","Educacio primaria",11,22,4,18.2,"Catalunya","6-Educacio primaria"
"482","Girones","1","Privat","Educacio infantil 2n cicle",3,545,447,82,"Catalunya","1-Educacio infantil 2n cicle"
"483","Girones","1","Privat","Educacio primaria",6,119,74,62.2,"Catalunya","1-Educacio primaria"
"484","Girones","1","Privat","Educacio secundaria obligatoria",12,170,156,91.8,"Catalunya","1-Educacio secundaria obligatoria"
"485","Girones","1","Public","Educacio infantil 2n cicle",3,1660,1380,83.1,"Catalunya","1-Educacio infantil 2n cicle"
"486","Girones","1","Public","Educacio primaria",6,119,23,19.3,"Catalunya","1-Educacio primaria"
"487","Girones","1","Public","Educacio secundaria obligatoria",12,1825,1689,92.5,"Catalunya","1-Educacio secundaria obligatoria"
"488","Girones","2","Privat","Educacio infantil 2n cicle",4,32,5,15.6,"Catalunya","2-Educacio infantil 2n cicle"
"489","Girones","2","Privat","Educacio primaria",7,66,14,21.2,"Catalunya","2-Educacio primaria"
"490","Girones","2","Privat","Educacio secundaria obligatoria",13,5,3,60,"Catalunya","2-Educacio secundaria obligatoria"
"491","Girones","2","Public","Educacio infantil 2n cicle",4,121,26,21.5,"Catalunya","2-Educacio infantil 2n cicle"
"492","Girones","2","Public","Educacio primaria",7,155,14,9,"Catalunya","2-Educacio primaria"
"493","Girones","2","Public","Educacio secundaria obligatoria",13,25,11,44,"Catalunya","2-Educacio secundaria obligatoria"
"494","Girones","3","Privat","Educacio infantil 2n cicle",5,44,9,20.5,"Catalunya","3-Educacio infantil 2n cicle"
"495","Girones","3","Privat","Educacio primaria",8,41,3,7.3,"Catalunya","3-Educacio primaria"
"496","Girones","3","Privat","Educacio secundaria obligatoria",14,5,2,40,"Catalunya","3-Educacio secundaria obligatoria"
"497","Girones","3","Public","Educacio infantil 2n cicle",5,124,24,19.4,"Catalunya","3-Educacio infantil 2n cicle"
"498","Girones","3","Public","Educacio primaria",8,160,18,11.2,"Catalunya","3-Educacio primaria"
"499","Girones","3","Public","Educacio secundaria obligatoria",14,18,13,72.2,"Catalunya","3-Educacio secundaria obligatoria"
"500","Girones","4","Privat","Educacio primaria",9,33,6,18.2,"Catalunya","4-Educacio primaria"
"501","Girones","4","Privat","Educacio secundaria obligatoria",15,7,2,28.6,"Catalunya","4-Educacio secundaria obligatoria"
"502","Girones","4","Public","Educacio primaria",9,114,10,8.8,"Catalunya","4-Educacio primaria"
"503","Girones","4","Public","Educacio secundaria obligatoria",15,26,2,7.7,"Catalunya","4-Educacio secundaria obligatoria"
"504","Girones","5","Privat","Educacio primaria",10,11,9,81.8,"Catalunya","5-Educacio primaria"
"505","Girones","5","Public","Educacio primaria",10,102,10,9.8,"Catalunya","5-Educacio primaria"
"506","Girones","6","Privat","Educacio primaria",11,18,5,27.8,"Catalunya","6-Educacio primaria"
"507","Girones","6","Public","Educacio primaria",11,215,6,2.8,"Catalunya","6-Educacio primaria"
"508","Maresme","1","Privat","Educacio infantil 2n cicle",3,1401,974,69.5,"Catalunya","1-Educacio infantil 2n cicle"
"509","Maresme","1","Privat","Educacio primaria",6,101,33,32.7,"Catalunya","1-Educacio primaria"
"510","Maresme","1","Privat","Educacio secundaria obligatoria",12,350,307,87.7,"Catalunya","1-Educacio secundaria obligatoria"
"511","Maresme","1","Public","Educacio infantil 2n cicle",3,3064,2499,81.6,"Catalunya","1-Educacio infantil 2n cicle"
"512","Maresme","1","Public","Educacio primaria",6,263,32,12.2,"Catalunya","1-Educacio primaria"
"513","Maresme","1","Public","Educacio secundaria obligatoria",12,3416,3104,90.9,"Catalunya","1-Educacio secundaria obligatoria"
"514","Maresme","2","Privat","Educacio infantil 2n cicle",4,187,29,15.5,"Catalunya","2-Educacio infantil 2n cicle"
"515","Maresme","2","Privat","Educacio primaria",7,73,21,28.8,"Catalunya","2-Educacio primaria"
"516","Maresme","2","Privat","Educacio secundaria obligatoria",13,75,17,22.7,"Catalunya","2-Educacio secundaria obligatoria"
"517","Maresme","2","Public","Educacio infantil 2n cicle",4,281,39,13.9,"Catalunya","2-Educacio infantil 2n cicle"
"518","Maresme","2","Public","Educacio primaria",7,225,36,16,"Catalunya","2-Educacio primaria"
"519","Maresme","2","Public","Educacio secundaria obligatoria",13,202,51,25.2,"Catalunya","2-Educacio secundaria obligatoria"
"520","Maresme","3","Privat","Educacio infantil 2n cicle",5,139,17,12.2,"Catalunya","3-Educacio infantil 2n cicle"
"521","Maresme","3","Privat","Educacio primaria",8,90,24,26.7,"Catalunya","3-Educacio primaria"
"522","Maresme","3","Privat","Educacio secundaria obligatoria",14,63,13,20.6,"Catalunya","3-Educacio secundaria obligatoria"
"523","Maresme","3","Public","Educacio infantil 2n cicle",5,306,56,18.3,"Catalunya","3-Educacio infantil 2n cicle"
"524","Maresme","3","Public","Educacio primaria",8,278,48,17.3,"Catalunya","3-Educacio primaria"
"525","Maresme","3","Public","Educacio secundaria obligatoria",14,223,58,26,"Catalunya","3-Educacio secundaria obligatoria"
"526","Maresme","4","Privat","Educacio primaria",9,6,5,83.3,"Catalunya","4-Educacio primaria"
"527","Maresme","4","Privat","Educacio secundaria obligatoria",15,63,9,14.3,"Catalunya","4-Educacio secundaria obligatoria"
"528","Maresme","4","Public","Educacio primaria",9,249,46,18.5,"Catalunya","4-Educacio primaria"
"529","Maresme","4","Public","Educacio secundaria obligatoria",15,205,35,17.1,"Catalunya","4-Educacio secundaria obligatoria"
"530","Maresme","5","Privat","Educacio primaria",10,19,14,73.7,"Catalunya","5-Educacio primaria"
"531","Maresme","5","Public","Educacio primaria",10,214,33,15.4,"Catalunya","5-Educacio primaria"
"532","Maresme","6","Privat","Educacio primaria",11,13,10,76.9,"Catalunya","6-Educacio primaria"
"533","Maresme","6","Public","Educacio primaria",11,215,30,14,"Catalunya","6-Educacio primaria"
"534","Moianes","1","Privat","Educacio infantil 2n cicle",3,25,8,32,"Catalunya","1-Educacio infantil 2n cicle"
"535","Moianes","1","Privat","Educacio primaria",6,15,0,0,"Catalunya","1-Educacio primaria"
"536","Moianes","1","Public","Educacio infantil 2n cicle",3,150,92,61.3,"Catalunya","1-Educacio infantil 2n cicle"
"537","Moianes","1","Public","Educacio primaria",6,36,2,5.6,"Catalunya","1-Educacio primaria"
"538","Moianes","1","Public","Educacio secundaria obligatoria",12,123,87,70.7,"Catalunya","1-Educacio secundaria obligatoria"
"539","Moianes","2","Privat","Educacio primaria",7,7,0,0,"Catalunya","2-Educacio primaria"
"540","Moianes","2","Public","Educacio infantil 2n cicle",4,33,1,3,"Catalunya","2-Educacio infantil 2n cicle"
"541","Moianes","2","Public","Educacio primaria",7,21,1,4.8,"Catalunya","2-Educacio primaria"
"542","Moianes","2","Public","Educacio secundaria obligatoria",13,15,1,6.7,"Catalunya","2-Educacio secundaria obligatoria"
"543","Moianes","3","Privat","Educacio infantil 2n cicle",5,8,0,0,"Catalunya","3-Educacio infantil 2n cicle"
"544","Moianes","3","Privat","Educacio primaria",8,2,0,0,"Catalunya","3-Educacio primaria"
"545","Moianes","3","Public","Educacio infantil 2n cicle",5,46,3,6.5,"Catalunya","3-Educacio infantil 2n cicle"
"546","Moianes","3","Public","Educacio primaria",8,23,0,0,"Catalunya","3-Educacio primaria"
"547","Moianes","3","Public","Educacio secundaria obligatoria",14,43,2,4.7,"Catalunya","3-Educacio secundaria obligatoria"
"548","Moianes","4","Privat","Educacio primaria",9,1,0,0,"Catalunya","4-Educacio primaria"
"549","Moianes","4","Public","Educacio primaria",9,41,1,2.4,"Catalunya","4-Educacio primaria"
"550","Moianes","4","Public","Educacio secundaria obligatoria",15,4,1,25,"Catalunya","4-Educacio secundaria obligatoria"
"551","Moianes","5","Privat","Educacio primaria",10,9,0,0,"Catalunya","5-Educacio primaria"
"552","Moianes","5","Public","Educacio primaria",10,23,2,8.7,"Catalunya","5-Educacio primaria"
"553","Moianes","6","Privat","Educacio primaria",11,1,0,0,"Catalunya","6-Educacio primaria"
"554","Moianes","6","Public","Educacio primaria",11,63,0,0,"Catalunya","6-Educacio primaria"
"555","Montsia","1","Privat","Educacio infantil 2n cicle",3,75,59,78.7,"Catalunya","1-Educacio infantil 2n cicle"
"556","Montsia","1","Privat","Educacio primaria",6,21,4,19,"Catalunya","1-Educacio primaria"
"557","Montsia","1","Privat","Educacio secundaria obligatoria",12,12,12,100,"Catalunya","1-Educacio secundaria obligatoria"
"558","Montsia","1","Public","Educacio infantil 2n cicle",3,617,454,73.6,"Catalunya","1-Educacio infantil 2n cicle"
"559","Montsia","1","Public","Educacio primaria",6,110,12,10.9,"Catalunya","1-Educacio primaria"
"560","Montsia","1","Public","Educacio secundaria obligatoria",12,629,537,85.4,"Catalunya","1-Educacio secundaria obligatoria"
"561","Montsia","2","Privat","Educacio infantil 2n cicle",4,23,1,4.3,"Catalunya","2-Educacio infantil 2n cicle"
"562","Montsia","2","Privat","Educacio primaria",7,16,3,18.8,"Catalunya","2-Educacio primaria"
"563","Montsia","2","Privat","Educacio secundaria obligatoria",13,1,1,100,"Catalunya","2-Educacio secundaria obligatoria"
"564","Montsia","2","Public","Educacio infantil 2n cicle",4,110,9,8.2,"Catalunya","2-Educacio infantil 2n cicle"
"565","Montsia","2","Public","Educacio primaria",7,130,5,3.8,"Catalunya","2-Educacio primaria"
"566","Montsia","2","Public","Educacio secundaria obligatoria",13,63,6,9.5,"Catalunya","2-Educacio secundaria obligatoria"
"567","Montsia","3","Privat","Educacio infantil 2n cicle",5,9,1,11.1,"Catalunya","3-Educacio infantil 2n cicle"
"568","Montsia","3","Privat","Educacio primaria",8,1,0,0,"Catalunya","3-Educacio primaria"
"569","Montsia","3","Privat","Educacio secundaria obligatoria",14,7,1,14.3,"Catalunya","3-Educacio secundaria obligatoria"
"570","Montsia","3","Public","Educacio infantil 2n cicle",5,134,7,5.2,"Catalunya","3-Educacio infantil 2n cicle"
"571","Montsia","3","Public","Educacio primaria",8,128,5,3.9,"Catalunya","3-Educacio primaria"
"572","Montsia","3","Public","Educacio secundaria obligatoria",14,70,13,18.6,"Catalunya","3-Educacio secundaria obligatoria"
"573","Montsia","4","Privat","Educacio primaria",9,1,1,100,"Catalunya","4-Educacio primaria"
"574","Montsia","4","Privat","Educacio secundaria obligatoria",15,10,1,10,"Catalunya","4-Educacio secundaria obligatoria"
"575","Montsia","4","Public","Educacio primaria",9,94,4,4.3,"Catalunya","4-Educacio primaria"
"576","Montsia","4","Public","Educacio secundaria obligatoria",15,58,2,3.4,"Catalunya","4-Educacio secundaria obligatoria"
"577","Montsia","5","Privat","Educacio primaria",10,15,6,40,"Catalunya","5-Educacio primaria"
"578","Montsia","5","Public","Educacio primaria",10,122,10,8.2,"Catalunya","5-Educacio primaria"
"579","Montsia","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"580","Montsia","6","Public","Educacio primaria",11,75,3,4,"Catalunya","6-Educacio primaria"
"581","Noguera","1","Privat","Educacio infantil 2n cicle",3,75,74,98.7,"Catalunya","1-Educacio infantil 2n cicle"
"582","Noguera","1","Privat","Educacio primaria",6,7,0,0,"Catalunya","1-Educacio primaria"
"583","Noguera","1","Privat","Educacio secundaria obligatoria",12,20,10,50,"Catalunya","1-Educacio secundaria obligatoria"
"584","Noguera","1","Public","Educacio infantil 2n cicle",3,322,206,64,"Catalunya","1-Educacio infantil 2n cicle"
"585","Noguera","1","Public","Educacio primaria",6,40,0,0,"Catalunya","1-Educacio primaria"
"586","Noguera","1","Public","Educacio secundaria obligatoria",12,433,340,78.5,"Catalunya","1-Educacio secundaria obligatoria"
"587","Noguera","2","Privat","Educacio infantil 2n cicle",4,0,1,Inf,"Catalunya","2-Educacio infantil 2n cicle"
"588","Noguera","2","Privat","Educacio primaria",7,0,0,NA,"Catalunya","2-Educacio primaria"
"589","Noguera","2","Privat","Educacio secundaria obligatoria",13,1,0,0,"Catalunya","2-Educacio secundaria obligatoria"
"590","Noguera","2","Public","Educacio infantil 2n cicle",4,27,2,7.4,"Catalunya","2-Educacio infantil 2n cicle"
"591","Noguera","2","Public","Educacio primaria",7,54,2,3.7,"Catalunya","2-Educacio primaria"
"592","Noguera","2","Public","Educacio secundaria obligatoria",13,28,2,7.1,"Catalunya","2-Educacio secundaria obligatoria"
"593","Noguera","3","Privat","Educacio infantil 2n cicle",5,0,0,NA,"Catalunya","3-Educacio infantil 2n cicle"
"594","Noguera","3","Privat","Educacio primaria",8,0,1,Inf,"Catalunya","3-Educacio primaria"
"595","Noguera","3","Privat","Educacio secundaria obligatoria",14,2,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"596","Noguera","3","Public","Educacio infantil 2n cicle",5,35,3,8.6,"Catalunya","3-Educacio infantil 2n cicle"
"597","Noguera","3","Public","Educacio primaria",8,24,2,8.3,"Catalunya","3-Educacio primaria"
"598","Noguera","3","Public","Educacio secundaria obligatoria",14,38,3,7.9,"Catalunya","3-Educacio secundaria obligatoria"
"599","Noguera","4","Privat","Educacio primaria",9,0,0,NA,"Catalunya","4-Educacio primaria"
"600","Noguera","4","Privat","Educacio secundaria obligatoria",15,2,1,50,"Catalunya","4-Educacio secundaria obligatoria"
"601","Noguera","4","Public","Educacio primaria",9,48,2,4.2,"Catalunya","4-Educacio primaria"
"602","Noguera","4","Public","Educacio secundaria obligatoria",15,45,1,2.2,"Catalunya","4-Educacio secundaria obligatoria"
"603","Noguera","5","Privat","Educacio primaria",10,0,0,NA,"Catalunya","5-Educacio primaria"
"604","Noguera","5","Public","Educacio primaria",10,29,4,13.8,"Catalunya","5-Educacio primaria"
"605","Noguera","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"606","Noguera","6","Public","Educacio primaria",11,60,1,1.7,"Catalunya","6-Educacio primaria"
"607","Osona","1","Privat","Educacio infantil 2n cicle",3,584,408,69.9,"Catalunya","1-Educacio infantil 2n cicle"
"608","Osona","1","Privat","Educacio primaria",6,83,8,9.6,"Catalunya","1-Educacio primaria"
"609","Osona","1","Privat","Educacio secundaria obligatoria",12,209,163,78,"Catalunya","1-Educacio secundaria obligatoria"
"610","Osona","1","Public","Educacio infantil 2n cicle",3,1309,987,75.4,"Catalunya","1-Educacio infantil 2n cicle"
