"","nom_comarca","nivell","nom_naturalesa","nom_ensenyament","edat","places ofertades","assignacions","% ocupades","dem","Curs"
"172","Baix Camp","1","Privat","Educacio secundaria obligatoria",12,98,69,70.4,"Catalunya","1-Educacio secundaria obligatoria"
"173","Baix Camp","1","Public","Educacio infantil 2n cicle",3,1555,1189,76.5,"Catalunya","1-Educacio infantil 2n cicle"
"174","Baix Camp","1","Public","Educacio primaria",6,131,12,9.2,"Catalunya","1-Educacio primaria"
"175","Baix Camp","1","Public","Educacio secundaria obligatoria",12,1712,1548,90.4,"Catalunya","1-Educacio secundaria obligatoria"
"176","Baix Camp","2","Privat","Educacio infantil 2n cicle",4,63,15,23.8,"Catalunya","2-Educacio infantil 2n cicle"
"177","Baix Camp","2","Privat","Educacio primaria",7,50,12,24,"Catalunya","2-Educacio primaria"
"178","Baix Camp","2","Privat","Educacio secundaria obligatoria",13,20,10,50,"Catalunya","2-Educacio secundaria obligatoria"
"179","Baix Camp","2","Public","Educacio infantil 2n cicle",4,208,19,9.1,"Catalunya","2-Educacio infantil 2n cicle"
"180","Baix Camp","2","Public","Educacio primaria",7,246,20,8.1,"Catalunya","2-Educacio primaria"
"181","Baix Camp","2","Public","Educacio secundaria obligatoria",13,75,14,18.7,"Catalunya","2-Educacio secundaria obligatoria"
"182","Baix Camp","3","Privat","Educacio infantil 2n cicle",5,22,3,13.6,"Catalunya","3-Educacio infantil 2n cicle"
"183","Baix Camp","3","Privat","Educacio primaria",8,18,8,44.4,"Catalunya","3-Educacio primaria"
"184","Baix Camp","3","Privat","Educacio secundaria obligatoria",14,27,5,18.5,"Catalunya","3-Educacio secundaria obligatoria"
"185","Baix Camp","3","Public","Educacio infantil 2n cicle",5,236,21,8.9,"Catalunya","3-Educacio infantil 2n cicle"
"186","Baix Camp","3","Public","Educacio primaria",8,142,11,7.7,"Catalunya","3-Educacio primaria"
"187","Baix Camp","3","Public","Educacio secundaria obligatoria",14,46,4,8.7,"Catalunya","3-Educacio secundaria obligatoria"
"188","Baix Camp","4","Privat","Educacio primaria",9,32,9,28.1,"Catalunya","4-Educacio primaria"
"189","Baix Camp","4","Privat","Educacio secundaria obligatoria",15,38,6,15.8,"Catalunya","4-Educacio secundaria obligatoria"
"190","Baix Camp","4","Public","Educacio primaria",9,194,15,7.7,"Catalunya","4-Educacio primaria"
"191","Baix Camp","4","Public","Educacio secundaria obligatoria",15,84,11,13.1,"Catalunya","4-Educacio secundaria obligatoria"
"192","Baix Camp","5","Privat","Educacio primaria",10,17,4,23.5,"Catalunya","5-Educacio primaria"
"193","Baix Camp","5","Public","Educacio primaria",10,195,10,5.1,"Catalunya","5-Educacio primaria"
"194","Baix Camp","6","Privat","Educacio primaria",11,11,4,36.4,"Catalunya","6-Educacio primaria"
"195","Baix Camp","6","Public","Educacio primaria",11,207,11,5.3,"Catalunya","6-Educacio primaria"
"196","Baix Ebre","1","Privat","Educacio infantil 2n cicle",3,100,70,70,"Catalunya","1-Educacio infantil 2n cicle"
"197","Baix Ebre","1","Privat","Educacio primaria",6,13,3,23.1,"Catalunya","1-Educacio primaria"
"198","Baix Ebre","1","Privat","Educacio secundaria obligatoria",12,40,26,65,"Catalunya","1-Educacio secundaria obligatoria"
"199","Baix Ebre","1","Public","Educacio infantil 2n cicle",3,814,560,68.8,"Catalunya","1-Educacio infantil 2n cicle"
"200","Baix Ebre","1","Public","Educacio primaria",6,156,11,7.1,"Catalunya","1-Educacio primaria"
"201","Baix Ebre","1","Public","Educacio secundaria obligatoria",12,693,591,85.3,"Catalunya","1-Educacio secundaria obligatoria"
"202","Baix Ebre","2","Privat","Educacio infantil 2n cicle",4,14,0,0,"Catalunya","2-Educacio infantil 2n cicle"
"203","Baix Ebre","2","Privat","Educacio primaria",7,9,2,22.2,"Catalunya","2-Educacio primaria"
"204","Baix Ebre","2","Privat","Educacio secundaria obligatoria",13,16,2,12.5,"Catalunya","2-Educacio secundaria obligatoria"
"205","Baix Ebre","2","Public","Educacio infantil 2n cicle",4,181,6,3.3,"Catalunya","2-Educacio infantil 2n cicle"
"206","Baix Ebre","2","Public","Educacio primaria",7,144,2,1.4,"Catalunya","2-Educacio primaria"
"207","Baix Ebre","2","Public","Educacio secundaria obligatoria",13,49,1,2,"Catalunya","2-Educacio secundaria obligatoria"
"208","Baix Ebre","3","Privat","Educacio infantil 2n cicle",5,21,0,0,"Catalunya","3-Educacio infantil 2n cicle"
"209","Baix Ebre","3","Privat","Educacio primaria",8,0,0,NA,"Catalunya","3-Educacio primaria"
"210","Baix Ebre","3","Privat","Educacio secundaria obligatoria",14,26,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"211","Baix Ebre","3","Public","Educacio infantil 2n cicle",5,175,17,9.7,"Catalunya","3-Educacio infantil 2n cicle"
"212","Baix Ebre","3","Public","Educacio primaria",8,150,3,2,"Catalunya","3-Educacio primaria"
"213","Baix Ebre","3","Public","Educacio secundaria obligatoria",14,57,15,26.3,"Catalunya","3-Educacio secundaria obligatoria"
"214","Baix Ebre","4","Privat","Educacio primaria",9,1,1,100,"Catalunya","4-Educacio primaria"
"215","Baix Ebre","4","Privat","Educacio secundaria obligatoria",15,23,5,21.7,"Catalunya","4-Educacio secundaria obligatoria"
"216","Baix Ebre","4","Public","Educacio primaria",9,119,1,0.8,"Catalunya","4-Educacio primaria"
"217","Baix Ebre","4","Public","Educacio secundaria obligatoria",15,93,12,12.9,"Catalunya","4-Educacio secundaria obligatoria"
"218","Baix Ebre","5","Privat","Educacio primaria",10,1,1,100,"Catalunya","5-Educacio primaria"
"219","Baix Ebre","5","Public","Educacio primaria",10,129,9,7,"Catalunya","5-Educacio primaria"
"220","Baix Ebre","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"221","Baix Ebre","6","Public","Educacio primaria",11,155,5,3.2,"Catalunya","6-Educacio primaria"
"222","Baix Emporda","1","Privat","Educacio infantil 2n cicle",3,288,219,76,"Catalunya","1-Educacio infantil 2n cicle"
"223","Baix Emporda","1","Privat","Educacio primaria",6,52,3,5.8,"Catalunya","1-Educacio primaria"
"224","Baix Emporda","1","Privat","Educacio secundaria obligatoria",12,118,120,101.7,"Catalunya","1-Educacio secundaria obligatoria"
"225","Baix Emporda","1","Public","Educacio infantil 2n cicle",3,1025,851,83,"Catalunya","1-Educacio infantil 2n cicle"
"226","Baix Emporda","1","Public","Educacio primaria",6,138,15,10.9,"Catalunya","1-Educacio primaria"
"227","Baix Emporda","1","Public","Educacio secundaria obligatoria",12,1234,1063,86.1,"Catalunya","1-Educacio secundaria obligatoria"
"228","Baix Emporda","2","Privat","Educacio infantil 2n cicle",4,31,3,9.7,"Catalunya","2-Educacio infantil 2n cicle"
"229","Baix Emporda","2","Privat","Educacio primaria",7,18,4,22.2,"Catalunya","2-Educacio primaria"
"230","Baix Emporda","2","Privat","Educacio secundaria obligatoria",13,18,4,22.2,"Catalunya","2-Educacio secundaria obligatoria"
"231","Baix Emporda","2","Public","Educacio infantil 2n cicle",4,107,14,13.1,"Catalunya","2-Educacio infantil 2n cicle"
