"","nom_comarca","nom_naturalesa","nom_ensenyament","assignacions totals","prim_peti","% 1a assig"
"222","Val d'Aran","Public","Educacio primaria",3,3,100
"223","Val d'Aran","Public","Educacio secundaria obligatoria",80,80,100
"224","Valles Occident","Privat","Educacio infantil 2n cicle",2679,2582,96.4
"225","Valles Occident","Privat","Educacio primaria",362,309,85.4
"226","Valles Occident","Privat","Educacio secundaria obligatoria",1027,927,90.3
"227","Valles Occident","Public","Educacio infantil 2n cicle",5943,5614,94.5
"228","Valles Occident","Public","Educacio primaria",402,249,61.9
"229","Valles Occident","Public","Educacio secundaria obligatoria",7115,6576,92.4
"230","Valles Oriental","Privat","Educacio infantil 2n cicle",742,706,95.1
"231","Valles Oriental","Privat","Educacio primaria",36,32,88.9
"232","Valles Oriental","Privat","Educacio secundaria obligatoria",181,158,87.3
"233","Valles Oriental","Public","Educacio infantil 2n cicle",2985,2794,93.6
"234","Valles Oriental","Public","Educacio primaria",335,242,72.2
"235","Valles Oriental","Public","Educacio secundaria obligatoria",4017,3662,91.2
