"","curs","nom_comarca","Places totals","Places ofertades","Places assignades","% places assignades"
"139","2020/2021","Barcelones",264079,40488,28493,70.4
"140","2020/2021","Bergueda",5487,1636,659,40.3
"141","2020/2021","Cerdanya",2224,534,264,49.4
"142","2020/2021","Conca de Barber",3230,1118,350,31.3
"143","2020/2021","Garraf",19194,3349,2308,68.9
"144","2020/2021","Garrigues",2407,608,278,45.7
"145","2020/2021","Garrotxa",7715,1254,886,70.7
"146","2020/2021","Girones",31321,5760,3961,68.8
"147","2020/2021","Maresme",64599,11721,7540,64.3
"148","2020/2021","Moianes",2065,689,201,29.2
"149","2020/2021","Montsia",9985,2531,1157,45.7
"150","2020/2021","Noguera",5530,1290,655,50.8
"151","2020/2021","Osona",26048,6108,2919,47.8
"152","2020/2021","Pallars Jussa",1794,535,209,39.1
"153","2020/2021","Pallars Sobira",865,219,123,56.2
"154","2020/2021","Pla d'Urgell",5731,1591,720,45.3
"155","2020/2021","Pla de l'Estany",4927,790,664,84.1
"156","2020/2021","Priorat",1605,759,146,19.2
"157","2020/2021","Ribera d'Ebre",3625,1481,310,20.9
"158","2020/2021","Ripolles",3517,1051,361,34.3
"159","2020/2021","Segarra",3579,829,368,44.4
"160","2020/2021","Segria",32353,6899,3653,52.9
"161","2020/2021","Selva",24085,5263,2980,56.6
"162","2020/2021","Solsones",2239,706,307,43.5
"163","2020/2021","Tarragones",38581,7422,4558,61.4
"164","2020/2021","Terra Alta",1905,861,145,16.8
"165","2020/2021","Urgell",5926,1432,695,48.5
"166","2020/2021","Val d'Aran",1200,244,151,61.9
"167","2020/2021","Valles Occident",136930,21475,16257,75.7
"168","2020/2021","Valles Oriental",61990,12011,7594,63.2
