"","curs","Any","codi_centre","nom_complet","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","codi_delegacio","nom_delegacio","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_minicial","nom_dm","UTM_X","UTM_Y","nom_ensenyament","nivell","nom_grups","mixt","nombre_places","places_ofertades","assignacions","assig_1a","assig_altres","georeferencia","edat","num_dona","num_home","num_total","lng","lat","% ocupades","% infants del municipi"
"97","2020/2021","2020","8019307","Institut Santa Eulalia","1","Public","1","Departament d'Ensenyament","208","Barcelona Comarques","13","Barcelones","08101","81017","L'Hospitalet de Llobregat","3","Santa Eulalia","425917.769","4578291.538","Educacio secundaria obligatoria","1","4","FALSE",120,114,108,114,6,"(41.35271752, 2.114400002)",12,1232,1276,2508,"2.127406236","41.365117318",90,100
"98","2020/2021","2020","8024881","Institut Ferran Casablancas","1","Public","1","Departament d'Ensenyament","408","Valles Occidental","40","Valles Occident","08187","81878","Sabadell","4","Sabadell 4","403615.862","4626569.365","Educacio secundaria obligatoria","1","5","FALSE",150,149,149,149,0,"(41.78512394, 1.840091135)",12,1235,1261,2496,"2.091877233","41.560985846",99.3,100
"99","2020/2021","2020","8001029","Boix","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08015","80155","Badalona","0","0","436832.859","4590180.253","Educacio secundaria obligatoria","1","1","FALSE",30,5,5,5,0,"(41.46072704, 2.243629384)",12,1179,1307,2486,"2.243629384","41.460727038",16.7,100
"100","2020/2021","2020","8017517","Sagrat Cor","2","Privat","26","Societats Mercantils","308","Baix Llobregat","11","Baix Llobregat","08089","80898","Gava","0","0","407230.853","4654131.703","Educacio secundaria obligatoria","1","1","FALSE",30,1,1,1,0,"(42.03375624, 1.879253068)",12,257,287,544,"2.001155765","41.307081625",3.3,100
"101","2020/2021","2020","8006532","Maristes Sants - les Corts","2","Privat","22","Fundacions","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","4","Les Corts","428409.431","4585196.918","Educacio secundaria obligatoria","1","5","FALSE",155,63,39,63,24,"(41.41513705, 2.143366893)",12,6615,7082,13697,"2.1348527","41.382895028",25.2,100
"102","2020/2021","2020","8026798","El Roser","2","Privat","22","Fundacions","1060","Catalunya Central","24","Osona","08220","82205","Sant Julia de Vilatorta","0","0","376802.224","4602099.157","Educacio secundaria obligatoria","1","1","FALSE",30,1,0,1,1,"(41.56107949, 1.522550261)",12,26,14,40,"2.3179928","41.929436186",0,100
"103","2020/2021","2020","8000578","Nen Jesus de Praga","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08015","80155","Badalona","0","0","436906.025","4589170.597","Educacio secundaria obligatoria","1","1","FALSE",30,10,5,10,5,"(41.45163909, 2.244610924)",12,1179,1307,2486,"2.244610924","41.45163909",16.7,100
"104","2020/2021","2020","8018901","Pineda","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08101","81017","L'Hospitalet de Llobregat","6","Bellvitge - Poligon Gornal","425417.676","4580405.561","Educacio secundaria obligatoria","1","3","FALSE",90,11,6,9,3,"(41.37171148, 2.10816251)",12,1232,1276,2508,"2.119036853","41.357390362",6.7,100
"105","2020/2021","2020","8025551","Sant Josep","2","Privat","26","Societats Mercantils","308","Baix Llobregat","11","Baix Llobregat","08200","82009","Sant Boi de Llobregat","0","0","419454.471","4577221.787","Educacio secundaria obligatoria","1","2","FALSE",60,12,12,12,0,"(41.34246245, 2.037287893)",12,437,495,932,"2.015043575","41.347811394",20,100
"106","2020/2021","2020","8013603","Sunion","2","Privat","26","Societats Mercantils","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","428463.687","4580833.103","Educacio secundaria obligatoria","1","4","FALSE",120,120,120,120,0,"(41.37583869, 2.144531547)",12,6615,7082,13697,"2.145613984","41.410592204",100,100
"107","2020/2021","2020","8020309","Mare de Deu del Pilar","2","Privat","41","Persones Fisiques","1060","Catalunya Central","7","Bages","08113","81136","Manresa","0","0","410872.461","4591875.281","Educacio secundaria obligatoria","1","1","FALSE",30,4,7,7,0,"(41.4735287, 1.932570466)",12,447,453,900,"1.843685801","41.732623287",23.3,100
"108","2020/2021","2020","8014188","Institut Josep Serrat i Bonastre","1","Public","4","Corporacions Locals","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","427114.058","4581095.388","Educacio secundaria obligatoria","1","3","FALSE",90,90,29,49,20,"(41.37807989, 2.128362217)",12,6615,7082,13697,"2.148094213","41.40649445",32.2,100
"109","2020/2021","2020","8016203","Sagrats Cors","2","Privat","24","Ordes i Congregacions Catolics","1060","Catalunya Central","24","Osona","08067","80673","Centelles","0","0","410293.84","4585383.922","Educacio secundaria obligatoria","1","2","FALSE",60,16,4,4,0,"(41.41500329, 1.926605794)",12,47,51,98,"2.219883201","41.798039171",6.7,100
